"woman" "district" "user" "living.children" "age_mean" "urban"  "constant"
1.00 1. 0 4 18.4400 1 1
2.00 1. 0 1 -5.5599 1 1
3.00 1. 0 3 1.44000 1 1
4.00 1. 0 4 8.44000 1 1
5.00 1. 0 1 -13.559 1 1
6.00 1. 0 1 -11.560 1 1
7.00 1. 0 4 18.4400 1 1
8.00 1. 0 4 -3.5599 1 1
9.00 1. 0 2 -5.5599 1 1
10.0 1. 0 4 1.44000 1 1
11.0 1. 1 1 -11.560 1 1
12.0 1. 0 1 -2.5599 1 1
13.0 1. 0 2 -4.5599 1 1
14.0 1. 0 4 5.44000 1 1
15.0 1. 0 4 -0.5599 1 1
16.0 1. 1 4 4.44000 1 1
17.0 1. 0 1 -5.5599 1 1
18.0 1. 1 4 -0.5599 1 1
19.0 1. 1 2 -6.5599 1 1
20.0 1. 0 3 -3.5600 1 1
21.0 1. 0 1 -4.5599 1 1
22.0 1. 0 1 -9.5599 1 1
23.0 1. 0 4 2.44000 1 1
24.0 1. 1 3 2.44000 1 1
25.0 1. 1 2 -4.5599 1 1
26.0 1. 0 4 14.4400 1 1
27.0 1. 1 1 -6.5599 1 1
28.0 1. 1 2 -3.5599 1 1
29.0 1. 1 2 -5.5599 1 1
30.0 1. 1 2 -1.5599 1 1
31.0 1. 0 3 -6.5599 1 1
32.0 1. 1 3 -2.5599 1 1
33.0 1. 0 3 -7.5599 1 1
34.0 1. 0 1 9.44000 1 1
35.0 1. 0 4 8.44000 1 1
36.0 1. 0 4 14.4400 1 1
37.0 1. 1 4 8.44000 1 1
38.0 1. 0 4 6.44000 1 1
39.0 1. 0 3 -3.5600 1 1
40.0 1. 1 4 -5.5599 1 1
41.0 1. 0 4 14.4400 1 1
42.0 1. 0 4 2.44000 1 1
43.0 1. 0 2 -10.559 1 1
44.0 1. 0 4 5.44000 1 1
45.0 1. 1 2 -7.5599 1 1
46.0 1. 1 3 -4.5599 1 1
47.0 1. 1 4 -1.5599 1 1
48.0 1. 0 2 -11.559 1 1
49.0 1. 1 4 1.44000 1 1
50.0 1. 1 3 11.4400 1 1
51.0 1. 0 1 -12.559 1 1
52.0 1. 1 3 -2.5599 1 1
53.0 1. 0 1 -3.5599 1 1
54.0 1. 1 1 -4.5599 1 1
55.0 1. 1 3 -7.5599 1 1
56.0 1. 1 2 8.44000 1 1
57.0 1. 1 3 -5.5599 1 1
58.0 1. 0 4 7.44000 1 1
59.0 1. 0 2 -6.5599 1 1
60.0 1. 0 1 -11.560 1 1
61.0 1. 0 4 15.4400 1 1
62.0 1. 0 3 -4.5599 1 1
63.0 1. 0 3 -3.5600 1 1
64.0 1. 0 4 11.4400 0 1
65.0 1. 0 4 -4.5599 0 1
66.0 1. 0 4 10.4400 0 1
67.0 1. 0 4 4.44000 0 1
68.0 1. 0 4 -3.5599 0 1
69.0 1. 0 1 -12.559 0 1
70.0 1. 0 3 -7.5599 0 1
71.0 1. 0 1 -13.559 0 1
72.0 1. 0 4 3.44000 0 1
73.0 1. 0 3 19.4400 0 1
74.0 1. 0 3 -7.5599 0 1
75.0 1. 0 3 1.44000 0 1
76.0 1. 0 1 -4.5599 0 1
